Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles
2017-01-21,"New York, NY",445000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://pix11.com/2017/01/21/womens-march-in-nyc-what-you-need-to-know/,4
2017-01-21,"Chicago, IL",250000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.nbcchicago.com/news/local/womens-march-chicago-411405495.html,4
2017-01-21,"Boston, MA",175000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.wbur.org/news/2017/01/21/boston-common-womens-march,3
2017-01-21,"San Francisco, CA",154000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.mercurynews.com/2017/01/21/womens-march-huge-bay-area-turnout-as-california-resistance-takes-hold/,1
2017-01-21,"Denver, CO",145000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.denverpost.com/2017/01/21/womens-march-denver/,1
2017-01-21,"Seattle, WA",133750,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://komonews.com/news/local/thousands-expected-at-womens-marches-across-the-northwest,1
2017-01-21,"Oakland, CA",100000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://sfist.com/2017/01/22/oakland_womens_march_drew_at_least.php,1
2017-01-21,"St. Paul/Minneapolis, MN",94500,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.twincities.com/2017/01/21/50000-join-womens-march-in-st-paul/,2
2017-01-21,"Madison, WI",86250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://isthmus.com/news/news/100-000-march-against-president-trump-in-madison/,1
2017-01-21,"Portland, OR",83500,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kgw.com/news/live-updates-womens-march-on-portland/389619021,2
2017-01-21,"Atlanta, GA",61350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.wsbtv.com/news/local/atlanta/everything-you-need-to-know-about-the-womens-march/486564022,2
2017-01-21,"Austin, TX",50550,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kvue.com/news/local/thousands-attend-womens-march-on-austin/389721273,4
2017-01-21,"Philadelphia, PA",50000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.fox29.com/news/230604658-story,2
2017-01-21,"San Diego, CA",34500,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.sandiegouniontribune.com/news/sd-san-g-diego-women-s-march-20170121-photogallery.html,1
2017-01-21,"San Jose, CA",31750,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://newamericamedia.org/2017/01/stirring-womens-march-in-san-jose-a-muslim-perspective.php,1
2017-01-21,"Sacramento, CA",28100,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.abc10.com/news/local/watch-thousands-participate-in-womens-march-in-sacramento/389669696,1
2017-01-21,"Des Moines, IA",26000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://iowapublicradio.org/post/thousands-rally-des-moines-womens-march,1
2017-01-21,"Pittsburgh, PA",25000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://pittsburgh.cbslocal.com/2017/01/21/womens-march-on-pittsburgh/,2
2017-01-21,"Charlotte, NC",24500,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.charlotteobserver.com/news/local/article127914684.html,4
2017-01-21,"Phoenix, AZ",22250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://kjzz.org/content/424597/many-25000-turn-out-womens-march-phoenix,2
2017-01-21,"Santa Ana, CA",22250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.ocregister.com/articles/women-741863-old-year.html,2
2017-01-21,"Houston, TX",21434,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.khou.com/news/20k-attend-womens-march-in-downtown-houston/389702891,1
2017-01-21,"St. Petersburg, FL",20000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://wfla.com/2017/01/21/thousands-attend-womens-march-st-petersburg/,1
2017-01-21,"Raleigh, NC",18350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.indyweek.com/news/archives/2017/01/21/womens-march-on-raleigh-draws-170000-supporters,2
2017-01-21,"Lansing, MI",17900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.freep.com/story/news/local/michigan/2017/01/21/women-march-washington-lansing-michigan/96898240/,2
2017-01-21,"Montpelier, VT",17250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.wcax.com/story/34314569/thousands-flood-montpelier-for-womens-march,4
2017-01-21,"Nashville, TN",17250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.tennessean.com/story/news/2017/01/21/thousands-expected-womens-march-nashville/96668276/,2
2017-01-21,"Miami, FL",16750,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.miamiherald.com/news/local/community/miami-dade/article127925999.html,1
2017-01-21,"Tallahassee, FL",15800,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.tallahassee.com/story/news/2017/01/21/more-than-14000-join-womens-march-on-tallahassee/96880778/,1
2017-01-21,"Cleveland, OH",15000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.cleveland.com/metro/index.ssf/2017/01/womens_march_in_cleveland_draw.html,1
2017-01-21,"Tucson, AZ",15000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://tucson.com/news/local/join-women-s-march-in-tucson/article_a3326d7b-dc9c-5b3f-a443-e6667b3f4a6b.html,2
2017-01-21,"Omaha, NE",14700,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.ketv.com/article/thousands-fill-streets-for-womens-march-on-omaha/8626727,1
2017-01-21,"St. Louis, MO",14500,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://news.stlpublicradio.org/post/st-louis-womens-march-draws-thousands-downtown,3
2017-01-21,"Santa Fe, NM",13150,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kob.com/albuquerque-news/thousands-gather-for-washington-womens-march-in-albuquerque-and-santa-fe/4377490/,3
2017-01-21,"Ashland, OR",11150,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.opb.org/news/article/womens-march-ashland-oregon-2017/,1
2017-01-21,"Santa Cruz, CA",11150,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.santacruzsentinel.com/article/NE/20170121/NEWS/170129947,1
2017-01-21,"Ann Arbor, MI",11000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.michiganreview.com/womens-march-ann-arbor-draws-thousands/,2
2017-01-21,"New Orleans, LA",10600,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.theadvocate.com/new_orleans/news/politics/article_a7c5b7a4-e040-11e6-aefa-bf1c2ceb3854.html,1
2017-01-21,"Hartford, CT",10000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://ctmirror.org/2017/01/21/hartford-rally-draws-10000-complacency-is-over/,3
2017-01-21,"Helena, MT",10000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.bozemandailychronicle.com/news/politics/organizers-women-s-march-in-helena-draws/article_a918b1f5-c0fc-5561-857f-962c4867b992.html,2
2017-01-21,"Olympia, WA",10000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.theolympian.com/news/local/article127924384.html,1
2017-01-21,"Portland, ME",10000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://wgme.com/news/local/around-10000-join-portland-womens-march-day-after-trumps-inauguration,1
2017-01-21,"Reno, NV",10000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.kolotv.com/content/news/Thousands-turn-out-for-Womens-March-in-Reno-411414185.html,1
2017-01-21,"Seneca Falls, NY",10000,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://cnycentral.com/news/local/demonstrates-come-together-for-womens-march-on-seneca-falls,1
2017-01-21,"Oklahoma City, OK",9250,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://kfor.com/2017/01/21/thousands-of-oklahomans-participate-in-womens-march-on-oklahoma/,1
2017-01-21,"Las Vegas, NV",8950,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://news3lv.com/news/local/hundreds-take-part-in-womens-march-in-downtown-las-vegas,1
2017-01-21,"Ithaca, NY",8900,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.ithacajournal.com/story/news/local/2017/01/21/ithaca-unites-10000-attend-womens-march/96844190/,1
2017-01-21,"Sarasota, FL",8625,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.heraldtribune.com/news/20170121/thousands-turn-out-for-sarasota-womens-solidarity-march,1
2017-01-21,"Albuquerque, NM",8400,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://kunm.org/post/thousands-rally-solidarity-women-abq,1
2017-01-21,"Asheville, NC",8350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.citizen-times.com/story/news/local/2017/01/21/womens-march-brings-thousands-downtown/96881844/,2
2017-01-21,"Eugene, OR",8350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.opb.org/news/article/womens-march-eugene-oregon-donald-trump-2017/,1
2017-01-21,"San Luis Obispo, CA",8350,Civil Rights (Women's March),Civil Rights; For women's rights; Women's March,Yes,http://www.sanluisobispo.com/news/local/article127913384.html,2
